data;estado;municipio;confirmados;obitos;populacao
44008;RS;Garibaldi;555;5;35070
44008;CE;Santa Quitéria;553;16;43703
44008;CE;Itapajé;552;46;52675
44008;MG;Mariana;552;9;60724
44008;RS;Marau;551;10;44161
44008;MG;Betim;548;30;439340
44008;RS;Santa Maria;548;17;282123
44008;AL;Teotônio Vilela;547;8;44169
44008;PA;Tomé-Açu;547;31;63447
44008;PA;Dom Eliseu;544;7;59719
44008;PA;Juruti;542;50;57943
44008;SE;Estância;539;18;69184
44008;BA;Eunápolis;538;7;113380
44008;MA;Estreito;538;7;41946
44008;MA;Bom Jesus das Selvas;535;1;34028
44008;AM;Fonte Boa;534;16;17609
44008;AL;Pilar;531;15;35111
44008;SP;Mogi Guaçu;528;15;151888
44007;AC;Sena Madureira;527;2;45848
44008;PA;Concórdia do Pará;525;8;33318
44008;MT;Primavera do Leste;522;11;62019
44008;GO;Luziânia;519;6;208299
44008;PI;Picos;518;10;78222
44008;MA;Igarapé Grande;517;1;11320
44008;SP;Rio Claro;517;29;206424
44008;CE;Granja;516;22;54748
44008;GO;Valparaíso de Goiás;516;16;168468
44008;SC;Palhoça;510;3;171797
44008;PI;Barras;509;14;47066
44008;SP;Arujá;509;34;89824
44008;MA;Esperantinópolis;508;7;17241
44008;CE;Trairi;505;30;55918
44008;SC;Xaxim;504;12;28706
44008;GO;Senador Canedo;502;4;115371
44008;MA;Tuntum;502;2;41832
44008;AM;Itapiranga;501;6;9148
44008;PA;Porto de Moz;501;22;41135
44008;CE;Cruz;496;9;24827
44008;PA;Vitória do Xingu;496;13;15134
44008;AM;Uarini;488;6;13540
44008;MA;Trizidela do Vale;488;4;21998
44008;RS;Erechim;488;3;105862
44008;SP;Bragança Paulista;488;13;168668
44008;AM;Carauari;486;6;28294
44008;MA;Anapurus;486;4;15732
44008;PE;Itambé;486;24;36447
44008;SP;Indaiatuba;485;37;251627
44008;MT;Tangará da Serra;484;6;103750
44008;SP;Valinhos;484;11;129193
44008;CE;Ubajara;483;14;34792
44008;AP;Cutias;481;2;5983
44008;BA;Juazeiro;481;15;216707
44008;PA;Alenquer;479;18;56789
44008;CE;Itaitinga;478;28;37980
44007;RR;Rorainópolis;477;8;30163
44003;PB;São Bento;476;7;34031
44008;AM;Atalaia do Norte;474;2;19921
44008;SP;Poá;474;50;117452
44008;CE;Pentecoste;473;22;37751
44008;CE;Tauá;473;9;58859
44008;MA;São Bernardo;473;8;28507
44008;PA;Limoeiro do Ajuru;473;12;28935
44008;SP;Itu;473;32;173939
44008;MG;Coronel Fabriciano;471;6;109855
44008;SP;Presidente Prudente;468;17;228743
44008;ES;Itapemirim;467;27;34348
44008;SE;Lagarto;467;16;104408
44008;CE;Acarape;466;11;14929
44008;CE;Barroquinha;466;10;15017
44003;PB;Itabaiana;466;6;24477
44008;AP;Calçoene;465;2;11117
44008;PE;Abreu e Lima;464;55;99990
44008;SP;Americana;463;21;239597
44008;PA;Monte Alegre;462;15;58032
44008;PA;São Félix do Xingu;461;6;128481
44008;CE;Tabuleiro do Norte;460;9;30697
44008;AL;Porto Calvo;458;6;27165
44008;MA;Amarante do Maranhão;458;10;41435
44008;BA;Itamaraju;454;7;64486
44008;RS;Canoas;454;14;346616
44008;SC;Navegantes;452;11;81475
44008;ES;Importados/Indefinidos;451;5;
44008;CE;Coreaú;450;4;23136
44008;PA;Acará;450;9;55591
44007;RN;Areia Branca;450;37;27774
44008;AM;Lábrea;449;6;46069
44008;AM;Tonantins;447;14;18755
44008;SP;São Carlos;447;12;251983
44008;MA;Paço do Lumiar;446;57;122197
44008;SP;São Sebastião;445;4;88980
44008;PA;Anapu;442;6;27890
44008;AL;União dos Palmares;441;17;65611
44008;RS;Nova Araçá;441;1;4759
44008;SP;Jandira;440;36;124937
44008;SP;Ribeirão Pires;440;26;123393
44008;PA;Santa Izabel do Pará;439;30;70801
44008;MA;Bom Jardim;436;3;41630
44008;RJ;Barra Mansa;435;30;184412
44008;SC;Xanxerê;432;4;50982
44008;RS;Farroupilha;430;5;72331
44008;RJ;Seropédica;429;23;82312
44006;RO;Candeias do Jamari;427;9;26693
44008;PE;Igarassu;426;63;117019
44008;AM;Nova Olinda do Norte;425;19;37378
44008;BA;Gandu;425;9;32403
44008;BA;Valença;425;14;96562
44008;MT;Lucas do Rio Verde;425;10;65534
44008;PE;Ipojuca;425;61;96204
44008;RJ;Nova Friburgo;425;33;190631
44008;SE;Barra dos Coqueiros;425;5;30407
44008;PA;Capitão Poço;424;23;54303
44008;MA;Colinas;422;7;41178
44003;PB;Sapé;422;16;52625
44008;AL;Boca da Mata;421;8;27281
44003;PB;Sousa;421;2;69444
44008;PE;Serra Talhada;420;7;86350
44008;MA;Itapecuru Mirim;419;3;68203
44008;SP;Votorantim;416;17;122480
44008;AL;Campo Alegre;415;3;57063
44008;AM;Borba;415;17;41161
44008;RJ;Três Rios;415;18;81804
44007;RN;Macaíba;415;21;80792
44007;TO;Xambioá;415;5;11540
44008;MA;Lima Campos;414;3;11893
44008;CE;Aracoiaba;412;8;26469
44008;MA;Vargem Grande;412;3;56510
44008;SC;Importados/Indefinidos;412;0;
44008;PA;Salinópolis;409;30;40675
44008;CE;Baturité;408;23;35750
44008;AL;Atalaia;407;6;47185
44008;AM;Eirunepé;407;0;35273
44008;SP;Bertioga;407;13;63249
44008;PE;Limoeiro;406;27;56250
44008;AM;Novo Aripuanã;405;9;25644
44008;MG;Itabirito;405;1;51875
44008;SP;Jaú;401;13;150252
44008;PA;Jacundá;398;9;59155
44008;RJ;Rio Bonito;397;20;60201
44008;PA;Igarapé-Açu;396;21;38807
44008;MG;Nova Lima;395;2;94889
44008;RJ;São Pedro da Aldeia;395;8;104476
44008;PA;Uruará;393;4;45476
44008;CE;Paracuru;392;24;35076
44008;MA;Santo Antônio dos Lopes;391;2;14528
44008;RJ;Resende;390;23;131341
44008;AP;Serra do Navio;389;4;5397
44008;MA;Itinga do Maranhão;389;8;26000
44008;PA;Rio Maria;389;2;18193
44008;PA;Ulianópolis;389;10;59210
44008;SP;Várzea Paulista;389;29;121838
44008;AM;Amaturá;388;8;11536
44008;AM;Beruri;387;6;19679
44008;SP;Santa Bárbara d'Oeste;387;16;193475
44008;AM;Urucurituba;386;2;23065
44007;PR;Cianorte;386;2;82620
44006;RO;Jaru;385;5;51775
44003;PB;Pitimbu;385;4;19065
44008;SP;Taubaté;383;7;314924
44008;AL;São Sebastião;382;2;34152
44008;MA;Araguanã;382;2;15426
44008;MA;Coroatá;382;3;65296
44007;RN;Ceará-Mirim;382;19;73497
44008;PE;Garanhuns;381;28;139788
44008;SP;Catanduva;381;21;121862
44008;MA;São Benedito do Rio Preto;379;4;18663
44008;AL;São Luís do Quitunde;377;11;34555
44008;AM;Guajará;374;1;16678
44006;RO;Ji-Paraná;374;9;128969
